timestamp,symbol,side,price,quantity,order_id,api_response,pnl,signal_reason,strategy_state
2026-03-18T11:05:15.080632,BTC/USD,HOLD,73812.87,0,,,,SVM prediction based on SMA features,"{'sma3': 74202.3, 'sma10': 71667.80799999999, 'momentum': -0.0013055180020501494, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:05:25.397920,BTC/USD,HOLD,73818.04,0,,,,SVM prediction based on SMA features,"{'sma3': 74204.02, 'sma10': 71668.324, 'momentum': -0.001235702758081003, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:05:35.695740,BTC/USD,HOLD,73814.4,0,,,,SVM prediction based on SMA features,"{'sma3': 74202.80666666666, 'sma10': 71667.95999999999, 'momentum': -0.0012849522712684992, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:05:45.939692,BTC/USD,HOLD,73825.04,0,,,,SVM prediction based on SMA features,"{'sma3': 74206.35333333333, 'sma10': 71669.024, 'momentum': -0.0011409921557973407, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:05:56.268373,BTC/USD,HOLD,73825.03,0,,,,SVM prediction based on SMA features,"{'sma3': 74206.35333333333, 'sma10': 71669.024, 'momentum': -0.0011409921557973407, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:06:06.518010,BTC/USD,HOLD,73810.01,0,,,,SVM prediction based on SMA features,"{'sma3': 74201.34666666666, 'sma10': 71667.522, 'momentum': -0.0013442140481260535, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:06:16.757568,BTC/USD,HOLD,73810.01,0,,,,SVM prediction based on SMA features,"{'sma3': 74201.15000000001, 'sma10': 71667.463, 'momentum': -0.001352196798889915, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:06:27.027351,BTC/USD,HOLD,73803.25,0,,,,SVM prediction based on SMA features,"{'sma3': 74199.09000000001, 'sma10': 71666.845, 'momentum': -0.0014358127306202536, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:06:37.337348,BTC/USD,HOLD,73759.18,0,,,,SVM prediction based on SMA features,"{'sma3': 74184.40333333334, 'sma10': 71662.43899999998, 'momentum': -0.002031948321565869, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:06:47.628189,BTC/USD,HOLD,73773.84,0,,,,SVM prediction based on SMA features,"{'sma3': 74189.29333333333, 'sma10': 71663.90599999999, 'momentum': -0.001833461959351221, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:06:57.962053,BTC/USD,HOLD,73763.55,0,,,,SVM prediction based on SMA features,"{'sma3': 74185.86, 'sma10': 71662.876, 'momentum': -0.001972821845568649, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:07:08.255277,BTC/USD,HOLD,73763.56,0,,,,SVM prediction based on SMA features,"{'sma3': 74185.86333333333, 'sma10': 71662.87700000001, 'momentum': -0.0019726865447083144, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:07:18.522561,BTC/USD,HOLD,73758.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74184.01, 'sma10': 71662.321, 'momentum': -0.0020479138230935917, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:07:28.770212,BTC/USD,HOLD,73751.01,0,,,,SVM prediction based on SMA features,"{'sma3': 74181.68, 'sma10': 71661.622, 'momentum': -0.0021424891245169194, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:07:39.038501,BTC/USD,HOLD,73740.55,0,,,,SVM prediction based on SMA features,"{'sma3': 74178.19333333334, 'sma10': 71660.576, 'momentum': -0.0022840138245006814, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:07:49.304211,BTC/USD,HOLD,73803.24,0,,,,SVM prediction based on SMA features,"{'sma3': 74199.09000000001, 'sma10': 71666.845, 'momentum': -0.0014358127306202536, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
